,smiles
0,O=C(O)CSc1ccc(Br)cc1
1,O=C(O)c1ccc(Cl)nc1S
2,O=C/C(Cl)=C(/Cl)C(=O)O
3,O=C(O)C/C=C/CC(=O)O
4,O=C(O)C1CC(Br)(Br)C1
5,O=C(O)C(CS)CS
6,O=C(O)C1CCOC1=O
7,C#CCCC#CC(=O)O
8,N#CNCC(=O)O
9,C=CC(=C)C(=O)O
10,O=C(O)C(F)(F)S
11,O=C(O)c1cnc(Cl)c(C(=O)O)c1
12,O=C(O)COC1CCCCO1
13,O=[S-]CCC(=O)O
14,O=C(O)c1ncccc1I
15,O=C(O)c1cccc(C(=O)O)c1I
16,O=C(O)CC(=O)Cl
17,O=C(O)c1ccc(C(Br)Br)cc1
18,O=C(O)c1cc([15N+](=O)[O-])c(Cl)c([15N+](=O)[O-])c1
19,C#CCOCC(=O)O
20,O=C(O)c1c(F)cc(F)cc1I
21,O=C(O)c1cc(I)c(I)cc1F
22,O=C(O)c1c(I)cc(O)cc1I
23,O=C(O)c1cc(I)c(I)cc1O
24,O=C(O)c1cc(Br)c(F)cc1Br
25,C=CNCC(=O)O
26,O=C(O)C1CS1
27,O=C(O)C1(C2(O)CCC3(CC2)OCCO3)CC1
28,O=C(O)CCCOCCOC1CCCCO1
29,C=CCOCCOCC(=O)O
30,O=C(O)c1cc(O)c(I)c(O)c1
31,O=C(O)c1nccnc1O
32,O=C(O)Cc1ccc(CCl)cc1
33,C#CCC(C(=O)O)C(=O)O
34,N=C(S)C(=O)O
35,O=C(O)CC(=O)Sc1ccccc1
36,O=C(O)c1oc(C(=O)O)c(Cl)c1Cl
37,O=C(O)CCCCCCCCCCCCCCBr
38,O=C(O)COCCCl
39,O=C(O)c1nc(O)ccc1F
40,O=C(O)CC(=O)CCl
41,O=C(O)c1cc(F)c(Br)cc1Br
42,O=C(O)c1nc(Br)ccc1F
43,O=C(O)C=C1OC(=O)c2ccccc21
44,O=C(O)C1CSCN1
45,O=C(O)C(O)(O)C(=O)O
46,C=C1C(C(=O)O)C1C(=O)O
47,O=C(O)c1ncccc1F
48,O=C(O)C=Cc1ccccc1F
49,O=C(O)C=Cc1ccc(F)cc1
50,O=C(O)c1ccnc(C(=O)O)c1
51,O=C(O)C=Cc1ccc2c(c1)OCO2
52,O=C(O)C(Cl)(Cl)Cl
53,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)F
54,O=C(O)c1cc(=O)cc(C(=O)O)[nH]1
55,O=C(O)CC(O)(CC(=O)O)C(=O)O
56,O=C(O)C1CNCCN1
57,O=C(O)c1c(O)cc(O)cc1O
58,O=C(O)C(F)(F)C(F)F
59,O=C(O)C(Br)C(Br)C(=O)O
60,O=C(O)CN(CC(=O)O)CC(=O)O
61,O=C(O)C=Cc1ccco1
62,O=C(O)C1CCN1
63,C=CC=CC(=O)O
64,O=CC(Cl)=C(Cl)C(=O)O
65,O=C(O)C1OC1C(=O)O
66,O=C(O)C[n+]1ccccc1
67,O=C(O)c1cc(O)cc(F)c1
68,O=C(O)c1ccc([N+](=O)[O-])c(O)c1
69,O=C(O)C=CBr
70,O=Cc1ccc(C=CC(=O)O)cc1
71,O=C(O)c1cnc(Cl)nc1
72,O=C(O)C1C=CC=CC1C(=O)O
73,O=C(O)C(=O)c1cccc(Br)c1
74,O=C(O)c1ccc(C(=O)CCl)cc1
75,O=C(O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1
76,O=C(O)c1ccc(C(=O)Cl)cc1
77,O=C(O)/C(Cl)=C/Cl
78,O=C(O)CSc1cccc(SCC(=O)O)c1
79,O=C(O)c1ccc(Br)c(C(F)(F)F)c1
80,O=C(O)Cc1ccc(Cl)cc1Br
81,O=C(O)c1cc(Br)cc(C(=O)O)n1
82,O=C(O)CSc1cccc(Br)c1
83,O=C(O)C(F)(F)I
84,C#CCC(CC#C)C(=O)O
85,O=C(O)c1cc(F)cc(Cl)n1
86,O=C(O)C#CBr
87,O=C(O)COCCBr
88,O=C(O)C1CS(=O)(=O)C1
89,O=C(O)CC(=O)C(F)(F)F
90,O=C(O)c1ccc(Br)cc1I
91,O=C(O)Cc1ccccc1CBr
92,O=C(O)c1c(Cl)cc(O)cc1Cl
93,O=C(O)Cc1cccc(Cl)c1Br
94,O=C(O)C[C@H](Cl)C(=O)O
95,O=C(O)c1cccc(I)c1Br
96,O=C(O)c1c(O)cc(F)cc1O
97,O=C(O)c1ccc([N+](=O)[O-])c([N+](=O)[O-])c1
98,O=C(O)c1cccc([N+](=O)[O-])c1I
99,O=C(O)c1ccc(Br)cc1[N+](=O)[O-]
100,O=C(O)c1ccc(Cl)cc1[N+](=O)[O-]
101,O=C(O)c1cc([N+](=O)[O-])cc(C(F)(F)F)c1
102,O=C(O)c1ccc([N+](=O)[O-])s1
103,O=C(O)c1cc(Br)cc([N+](=O)[O-])c1
104,O=C(O)c1cc(F)ccc1[N+](=O)[O-]
105,O=C(O)c1ncccc1[N+](=O)[O-]
106,O=C(O)C(F)(F)OC(F)(F)F
107,O=C(O)C#CC#CC(=O)O
108,O=C(O)CC1(O)CCC2(CC1)OCCO2
109,O=C(O)C=Cc1ccc(Br)o1
110,O=C(O)c1cnc(Br)cn1
111,O=C(O)c1ccc(Br)c([N+](=O)[O-])c1
112,O=C(O)CC(=O)Oc1ccccc1
113,C=CCSCC(=O)O
114,O=C1CC(C(=O)O)C1
115,O=C(O)C(O)=C(O)C(=O)O
116,O=C(O)CCCCCCCCBr
117,O=C(O)C(Br)CCC(Br)C(=O)O
118,O=C(O)Cc1ccc(F)c(Br)c1
119,O=C(O)Cc1ccc(F)cc1Br
120,O=C(O)c1cc(Br)cc(C(F)(F)F)c1
121,O=C(O)C1=C(Br)CC1
122,N#CCCSCC(=O)O
123,O=C(O)C=CI
124,O=C(O)C(F)(Cl)Cl
125,O=C(O)C(=O)CS
126,O=C(O)C=Cc1ccc(Cl)cc1
127,O=C(O)C1CCC1C(=O)O
128,O=C(O)c1cc[n+](Cc2ccccc2)cc1
129,O=C(O)C=Cc1cccc(O)c1
130,O=C(O)C1CO1
131,O=C(O)C1C=CCC1
132,O=C1CCC(F)(C(=O)O)CC1
133,O=C(O)CCCCCCCCCCCCCBr
134,C=C(Br)COCC(=O)O
135,O=C(O)CC(Br)CC(=O)O
136,O=C(O)CS(=O)(=O)CC(=O)O
137,O=C(O)/C(Cl)=C\c1ccccc1
138,O=C(O)/C(Br)=C(\Br)C(=O)O
139,O=C(O)c1c(Br)ccc(Br)c1F
140,O=C(O)C1NCCNC1C(=O)O
141,O=C(O)CC(S)(S)C(=O)O
142,O=C(O)COCc1ccc(I)cc1
143,O=C(O)C(Br)C(=O)O
144,O=C(O)C(F)(F)Sc1ccccc1
145,O=C(O)c1cc(C(=O)O)c(Br)cc1Br
146,O=C(O)COc1ccc(Br)cc1
147,O=C(O)COc1ccc(Cl)cc1
148,O=C(O)C(Cl)Br
149,O=C(O)CC(=O)CC(=O)O
150,O=C(O)CI
151,O=C(O)C#CC(=O)O
152,O=C(O)/C=C(/CC(=O)O)C(=O)O
153,C=CC(=O)O
154,O=C(O)c1cccc(C(=O)O)n1
155,O=C(O)C=CC(=O)O
156,O=C(O)CBr
157,C=CCCC(=O)O
158,C=CCC(C(=O)O)C(=O)O
159,O=C(O)C(F)(F)F
160,O=C(O)CCBr
161,O=C(O)c1ccccc1O
162,O=C(O)C=Cc1cccc(Br)c1
163,O=Cc1ccc(C(=O)O)cc1
164,O=C(O)c1ccc(F)cc1
165,O=C(O)c1ccc(O)nc1
166,O=C(O)C=Cc1cccs1
167,O=C(O)Cc1ccccc1CC(=O)O
168,O=C(O)CCCl
169,C=CCC(=O)O
170,O=C(O)c1ccccc1Cl
171,O=C(O)c1ccccc1Br
172,O=C(O)c1cccc(I)c1
173,O=C(O)Cc1ccc(Br)cc1
174,O=C(O)Cc1ccc(Cl)cc1
175,O=C(O)c1ccc(Cl)cc1Cl
176,O=C(O)C(Br)CBr
177,O=C(O)C(F)F
178,O=C(O)COCC(=O)O
179,O=C(O)c1ccc(Cl)c(Cl)c1
180,O=C(O)c1cccnc1Cl
181,O=C(O)CCCCCBr
182,O=C(O)c1ncccc1O
183,O=C(O)c1cc(F)ccc1O
184,O=C(O)c1cc(O)nc(O)c1
185,O=C(O)c1ccc(Cl)nc1
186,O=C(O)CSC(=S)c1ccccc1
187,O=C(O)CCCCBr
188,O=C(O)COc1ccccc1
189,O=C(O)c1ccc(CBr)cc1
190,O=C(O)C(C(=O)O)c1ccccc1
191,O=C(O)C1CCCN1
192,O=C(O)c1cccc(Br)c1
193,O=C(O)c1ccoc1
194,O=C(O)C(F)(F)C(F)(F)C(F)(F)F
195,O=C(O)CC(Br)C(=O)O
196,O=C(O)C(=O)CBr
197,O=C(O)C(CBr)CBr
198,O=C(O)CCCBr
199,O=C(O)CCCCCCCCCCBr
200,O=C(O)C(Br)C(Br)c1ccccc1
201,O=C(O)CCCCCCCCCCCBr
202,O=C(O)CC(=O)C(=O)O
203,O=C(O)c1cncc(Br)c1
204,O=C(O)CSC(=S)SCC(=O)O
205,C=C(CBr)C(=O)O
206,O=C(O)c1cc(Br)ccc1Cl
207,O=C(O)Cc1ccc(CBr)cc1
208,O=C(O)C(C(F)(F)F)C(F)(F)F
209,O=C(O)CCCCCCCBr
210,O=C(O)C1CC(C(=O)O)CC(C(=O)O)C1
211,O=C(O)Cc1ccccc1Br
212,O=C(O)Cc1cccc(Br)c1
213,O=C(O)c1cc[n+]([O-])cc1
214,O=C(O)c1c(F)cccc1F
215,O=C(O)Cc1ccccc1Cl
216,O=C(O)c1ccc(I)cc1
217,O=C(O)Cc1ccccc1F
218,O=C(O)CNCC(=O)O
219,O=C(O)Cc1ccsc1
220,O=C(O)c1cc(=O)cc(C(=O)O)o1
221,C#CCCC(=O)O
222,O=C(O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
223,O=C(O)c1cccc(Cl)c1
224,O=C(O)CCCCl
225,O=C(O)c1ccc(O)cc1
226,N#CCC(=O)O
227,O=C(O)C(Br)Br
228,O=C(O)C(F)(F)Cl
229,O=C(O)c1ccc(F)cc1Cl
230,O=C(O)c1ccc(Cl)cc1F
231,O=C(O)c1ccsc1
232,O=C(O)c1cc(F)ccc1F
233,O=C(O)Cc1cccc(F)c1
234,O=C(O)c1ccc(S(=O)(=O)Cl)cc1
235,O=C(O)c1cc(O)c(Br)c(O)c1
236,O=C(O)Cc1c(Cl)cccc1Cl
237,O=C(O)Cc1cccc(Cl)c1
238,O=CC(=O)O
239,O=C(O)c1cccc(F)c1F
240,O=C(O)c1ccc(F)cc1F
241,O=C(O)Cc1c(F)cccc1F
242,O=C(O)c1ccc(CCl)cc1
243,O=C(O)CCCCCl
244,O=C(O)C(Cl)Cl
245,O=C(O)c1cc(O)c(O)c(O)c1
246,O=C(O)CS
247,O=C(O)CC(=O)O
248,O=C(O)C=Cc1ccc(O)cc1
249,O=C(O)C1CCC1
250,O=C(O)c1cc(F)cc(F)c1
251,O=C(O)Cc1cc(F)ccc1F
252,O=C(O)Cc1cc(F)cc(F)c1
253,O=C(O)C1CCCC1
254,O=C(O)C1CC1
255,O=C(O)C1(C(=O)O)CC1
256,O=C(O)c1cc(O)cc(C(=O)O)c1
257,O=C(O)c1ccc(F)c(F)c1F
258,O=C(O)c1cc(Br)cc(Br)c1
259,O=C(O)c1ccc(F)c(Br)c1
260,O=C(O)c1c(Cl)cccc1Cl
261,O=C(O)C(Cl)CCl
262,O=C(O)c1ccc(F)cc1Br
263,O=C(O)c1c(O)cccc1O
264,O=C(O)c1ccc(F)c(Cl)c1
265,O=C(O)c1ccc(O)cc1O
266,O=C(O)c1cc(O)cc(O)c1
267,C=C(Br)C(=O)O
268,O=C(O)c1cccc(O)n1
269,O=C(O)C(S)C(S)C(=O)O
270,O=C(O)C(F)(F)C(F)(F)C(=O)O
271,O=C(O)C1CNC1
272,O=C(O)c1ccc(Br)cc1F
273,O=C(O)c1ccccn1
274,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
275,O=C(O)COCCOCC(=O)O
276,O=C(O)c1ccccc1F
277,O=C(O)c1ccccc1I
278,O=C(O)c1c[nH]cn1
279,O=C(O)c1c(F)cccc1I
280,O=C(O)COCc1ccccc1
281,O=C(O)COc1ccccc1O
282,O=C(O)c1cccc(S(=O)(=O)Cl)c1
283,O=C(O)C(Br)(Br)Br
284,C#CCCCCC(=O)O
285,O=C(O)CCCCCCCCCCCCCCCBr
286,O=C(O)CSc1ccc(Cl)cc1
287,O=C(O)c1cccc(S)c1
288,O=C(O)CCCI
289,O=C(O)C1CC=CC1
290,O=C(O)c1cc(Cl)nc(Cl)c1
291,O=C(O)CC(=O)OCc1ccccc1
292,O=C(O)CSCCSCC(=O)O
293,O=C(O)c1cc(Br)ccc1O
294,O=C(O)c1cccc(F)c1
295,O=C(O)c1ccc(Br)s1
296,O=C(O)Cc1ccc(F)cc1
297,O=C(O)c1ccc(Cl)nc1Cl
298,O=C(O)c1ccco1
299,O=C(O)c1cccc(Br)n1
300,O=C(O)c1cc(F)ccc1S
301,C#CCCCC(=O)O
302,O=C(O)C(F)(F)S(=O)(=O)F
303,O=C(O)Cc1ccccc1I
304,O=C(O)c1cc(Cl)ccc1F
305,O=C(O)c1cccc(Cl)c1F
306,O=C(O)C1CCC(C(=O)O)CC1
307,O=C(O)CCCCCCCCCBr
308,O=C(O)c1ccnc(Cl)c1
309,O=C(O)c1cccc(O)c1
310,O=C(O)c1cc(I)ccc1F
311,O=C(O)c1ccc(F)cc1O
312,O=C(O)c1ccc(Cl)cc1I
313,O=C(O)c1cc(F)ccc1Br
314,O=C(O)c1sccc1Br
315,O=C(O)c1cc(I)ccc1Cl
316,O=C(O)c1cccnc1Br
317,O=C(O)c1cc(Br)ccc1F
318,O=C(O)CCS
319,O=C(O)c1cc(F)c(F)cc1Br
320,O=C(O)COCc1ccc(Br)cc1
321,O=C(C[n+]1ccccc1)Nc1ccccc1C(=O)O
322,O=C(O)C(=O)c1ccccc1Br
323,O=C(O)CC(=O)OC1CCCCC1
324,O=C(O)C1=CCSC1
325,O=C(O)C1(O)CCOCC1
326,O=C(O)c1cc(O)cc(=O)o1
327,O=C(O)CCOC1CCCCO1
328,O=C(O)c1cc(F)c(F)cc1O
329,O=C(O)C(CBr)(CBr)CBr
330,O=C(O)C1CCC=CO1
331,O=C(O)C=Cc1ccccc1Br
332,O=C(O)C=Cc1ccccc1Cl
333,N#CC=CC(=O)O
334,O=C(O)C=Cc1ccccc1I
335,O=C(O)CSCc1c(Cl)cccc1Cl
336,O=C(O)C[C@H](Br)C(=O)O
337,O=C(O)c1nc(Cl)ccc1F
338,O=C(O)c1cccc(C(=O)O)c1Br
339,O=C(O)c1cccc(C(=O)O)c1Cl
340,O=C(O)C1C(=O)c2ccccc2C1=O
341,O=C(O)C(=O)n1ccnc1
342,O=C(O)COCC(=O)n1ccnc1
343,O=C(O)c1cccc(I)c1F
344,O=C(O)c1ccc(I)c(Cl)c1
345,O=C(O)CCC1OCCO1
346,O=C(O)c1cc(Br)cnc1Cl
347,O=C(O)c1cc(Cl)cc(Br)c1
348,O=C(O)c1cc(S(=O)(=O)Cl)ccc1Cl
349,O=C(O)CSc1ccccc1Cl
350,O=C(O)c1cc(Br)c[nH]1
351,O=C(O)c1cc(F)nc(F)c1
352,O=C(O)c1cc(Br)nc(Br)c1
353,O=C(O)c1cc(O)cc(Br)c1
354,O=C(O)C1(Cl)CCC2(CC1)OCCO2
355,C=C=CCC(=O)O
356,O=C(O)C(Br)[C@H](Br)C(=O)O
357,O=C(O)C1SC(=S)SC1C(=O)O
358,O=C(O)c1cnc(Cl)cc1O
359,O=C(O)c1cccc(Br)c1Br
360,O=C(O)C1CC2(C1)OCCO2
361,O=C(O)c1ccc(Cl)cc1Br
362,O=C(O)C=Cc1cccc(F)c1
363,O=C(O)C=Cc1ccc(Br)cc1
364,O=C(O)c1ccc(Br)c(F)c1F
365,O=C(O)c1ccc(O)c(I)c1
366,O=C(O)c1cc(Br)c(F)cc1F
367,O=C(O)c1occc1Br
368,O=C(O)CSc1cc[n+](CC(=O)c2ccccc2)cc1
369,O=C(O)C(Br)C(Br)c1ccc(Br)cc1
370,O=C(O)c1cc(O)ccc1Cl
371,O=C(O)C=CCBr
372,O=C(O)c1c(F)ccc(F)c1C(=O)O
373,C=C1CC(C(=O)O)C1
374,O=C(O)c1nc(O)ccc1Cl
375,O=C(O)Cc1cc(F)ccc1Cl
376,O=C(O)c1cc[n+](Cc2ccc(F)cc2)cc1
377,O=C(O)c1cc(Br)cnc1F
378,O=C(O)CS(=O)(=O)c1ccc(Br)cc1
379,O=C(O)CONC(=O)OCc1ccccc1
380,O=C(O)c1cc(O)cc(I)c1
381,O=C(O)c1cccc(Br)c1[N+](=O)[O-]
382,O=C(O)c1cc[n+]([O-])cc1
383,O=C(O)C1OCCO1
384,O=C(O)c1ccc(I)cc1I
385,O=C(O)C(Br)C(Br)c1ccc(Cl)cc1
386,O=C(O)CCNCCC(=O)O
387,N#CCCC(=O)O
388,O=C(O)CCC(=O)C(F)(F)F
389,O=C(O)C1CC(Cl)(Cl)C1
390,O=C(O)C(S)C(=O)O
391,C=CC(=O)C(=O)O
392,O=C(O)C(=O)C(Cl)(Cl)Cl
393,O=C(O)c1cc(S)cc(Br)c1
394,O=C(O)c1cc(Br)cc(S(=O)(=O)Cl)c1Br
395,N#CCOCC(=O)O
396,O=C(O)C=Cc1c(F)cc(F)cc1F
397,O=C(O)C1CSC1
398,O=C(O)C1SCCCS1
399,O=C(O)c1ccc(F)c(F)c1Br
400,O=C(O)C(Br)I
401,O=C(O)C(Cl)I
402,O=C(O)C(I)I
403,O=C(O)CCCCCCCCCCCCCCCCBr
404,O=C(O)c1c(F)ccc(Br)c1F
405,O=C(O)c1cc(Br)cc(S(=O)(=O)Cl)c1
406,O=C(O)C(Br)C[n+]1ccccc1
407,O=C(O)Cc1cc(Br)cc(Br)c1
408,O=C(O)CCCS
409,O=C(O)Cc1ccccc1CCl
410,O=C(O)C(Br)CC(Br)C(=O)O
411,O=C(O)C(CCl)(CCl)CCl
412,O=C(O)C1CCC=CCC1
413,O=C(O)c1cccc(F)c1I
414,O=C(O)c1ccc(F)cc1I
415,O=C(O)c1cc(F)ccc1I
416,O=C(O)C1CC(C(=O)O)S1
417,O=C(O)CCCCCCCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1
418,O=C(O)CC1(O)CC1
419,O=C(O)CS(=O)(=O)C(F)(F)F
420,O=C(O)C1CCC(Cl)CC1
421,O=C(O)CNNCC(=O)O
422,O=C(O)c1cc[n+](CCBr)cc1
423,O=C(O)c1cnncc1Br
424,O=C(O)c1cc(Cl)c(I)c(Cl)c1
425,O=C(O)CC[C@H](Br)C(=O)O
426,O=C(O)c1cc(Cl)ccc1[N+](=O)[O-]
427,O=C(O)c1cccc([N+](=O)[O-])c1F
428,O=C(O)Cc1cc(F)ccc1[N+](=O)[O-]
429,O=C(O)c1c(Br)cccc1[N+](=O)[O-]
430,C=CCOCC(=O)O
431,O=C(O)c1cc(C(=O)O)cc(S(=O)(=O)Cl)c1
432,C=CCCOCC(=O)O
433,O=C(O)C1CC(C(=O)O)C1
434,O=C(O)COC(F)(F)F
435,O=C(O)c1cc(Cl)ncn1
436,O=C(O)CC(=O)Nc1ccccc1I
437,O=C(O)CSc1ccccc1Br
438,O=C(O)CC(F)(F)CC(=O)O
439,O=C(O)C=C(Cl)Cl
440,O=C(O)c1ccc(Cl)cn1
441,O=C(O)c1cccnc1I
442,O=C(O)c1cccc(C(=O)Cl)c1
443,C#CC=CC(=O)O
444,O=C(O)C1C=CC=CC=C1
445,O=C(O)c1c(I)cc(F)cc1I
446,O=C(O)C=Cc1c(Br)cccc1Br
447,O=C(O)Cc1cccc(Br)c1Br
448,O=C(O)Cc1ccc(F)cc1I
449,O=C(O)c1cc(C(F)(F)F)c(Br)c(C(F)(F)F)c1
450,O=C(O)c1cnc(Cl)cc1Br
451,O=C(O)c1cc(I)c(I)cc1Br
452,O=C(O)c1c(I)cc(Br)cc1I
453,O=C(O)c1cc(I)c(F)c(I)c1
454,O=C(O)c1cc(F)c(Br)cc1F
455,O=C(O)c1ccc(F)c(S)c1
456,O=C(O)c1sccc1S
457,O=C(O)COc1ccccc1I
458,O=C(O)c1cc(O)cc(C(=O)O)n1
459,C=C(Cl)C(=O)O
460,O=C(O)c1cc(Br)cc(I)c1
461,O=C(O)CSCSCC(=O)O
462,O=C(O)c1c(F)ccc(Cl)c1F
463,O=C(O)c1ccc(Br)c(F)c1
464,O=C(O)c1ccc(Br)cn1
465,O=C(O)c1cc(I)c(O)c(I)c1
466,O=C(O)COc1cccc(OCC(=O)O)c1
467,O=C(O)Cc1ccc(I)cc1
468,O=C(O)c1cc(I)ccc1Br
469,O=C(O)c1cc(F)ccc1Cl
470,O=C(O)C(F)(Br)Br
471,O=C(O)C(F)(F)Br
472,O=C(O)c1cccc(F)c1Br
473,O=C(O)c1c(F)cccc1Br
474,O=C(O)c1cc(F)cc(Br)c1
475,O=C(O)c1cccc(F)c1Cl
476,O=C(O)Cc1cc(F)ccc1Br
477,O=C(O)c1cc(O)ccc1F
478,O=C(O)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(=O)O
479,O=C(O)c1ccc(F)c(I)c1
480,O=C(O)CCCCCCCCCCCCCCCCCCCCBr
481,O=C(O)CCCCCCBr
482,O=C(O)c1cc(Br)ccc1I
483,O=C(O)CCCCCCCCCCCCCCCCCCBr
484,O=C(O)c1ncccc1Br
485,O=C(O)Cc1ccc(S(=O)(=O)Cl)cc1
486,O=C(O)c1ccc(Br)cc1O
487,O=C(O)c1ccncc1Br
488,C#CCC(=O)O
489,O=C(O)CF
490,O=C(O)c1cccc(C(=O)O)c1F
491,O=C(O)c1ccc(Br)nc1
492,O=C(O)c1ccc(Br)cc1Cl
493,O=C(O)c1cc(Cl)ccc1Br
494,O=C(O)C(=O)c1ccco1
495,O=C(O)Cc1ccc(CC(=O)O)cc1
496,O=C(O)COc1ccccc1OCC(=O)O
497,O=C(O)C(=O)c1ccccc1
498,O=C(O)C#Cc1ccccc1
499,O=C(O)C1CCNCC1
500,C#CC(=O)O
501,O=C(O)c1cnccn1
502,O=C(O)c1ccc[nH]1
503,O=C(O)CSCC(=O)O
504,O=C(O)c1cccs1
505,O=C(O)c1ccccc1S
506,O=C(O)CNC(=O)OCc1ccccc1
507,O=C(O)c1ccc(Br)o1
508,O=C(O)C(Br)c1ccccc1
509,O=C(O)CSSCC(=O)O
510,O=C(O)CCI
511,O=C(O)c1cc(I)ccc1O
512,O=C(O)c1ccc(I)o1
513,O=C(O)c1cc(F)cc(Cl)c1
514,O=C(O)c1c(F)cc(Br)cc1F
515,O=C(O)C=Cc1ccc(C=CC(=O)O)cc1
516,O=C(O)CSc1ccccc1
517,O=C(O)CSc1sc(=S)sc1SCC(=O)O
518,O=C/C(Cl)=C(\Cl)C(=O)O
519,O=C(O)c1cc(I)c(I)c(I)c1
520,O=Cc1ccccc1C(=O)O
521,O=C(O)c1cc(Br)c(O)c(Br)c1
522,O=C(O)c1cc(Br)cc(C(=O)O)c1
523,O=C(O)c1ccc(O)cc1Cl
524,O=C(O)COc1ccccc1Br
525,O=C(O)C(=O)c1cc(F)ccc1F
526,O=C(O)CSc1cccc(Cl)c1
527,O=C(O)C#CCCl
528,O=Cc1c(Cl)cc(C(=O)O)cc1Cl
529,O=C(O)C(=O)c1ccc(Br)cc1
530,O=C(O)C(Br)CCBr
531,O=C(O)C[C@@H](Br)C(=O)O
532,O=C(O)c1ccc(C(=O)O)c(F)c1F
533,O=C1OCC(C(=O)O)O1
534,O=C(O)COC1CCCO1
535,O=C(O)c1ccc([N+](=O)[O-])c(Br)c1
536,O=C(O)c1cc([N+](=O)[O-])c(F)cc1Br
537,O=C(O)c1cc([N+](=O)[O-])ccc1F
538,O=C(O)c1ccc([N+](=O)[O-])cc1O
539,O=C(O)c1ccc(F)c(Br)c1Br
540,O=C(O)c1ccc(Br)c(Br)c1F
541,O=C(O)c1cc(Br)c(F)c(Br)c1
542,O=C(O)c1cccc(I)c1Cl
543,O=C(O)c1ccc(I)cc1Br
544,O=C(O)c1cc(O)ccc1Br
545,O=Cc1cccc(Br)c1C(=O)O
546,O=C(O)C1(O)CSC1
547,O=C(O)c1cc(I)c(C(=O)O)cc1I
548,C=CC(Cl)C(=O)O
549,O=C(O)c1c(O)cc(O)cc1Br
550,O=C(O)c1cc(I)cc(O)c1Br
551,O=C(O)c1c(O)cc(Br)cc1I
552,O=C(O)c1cc(F)ccn1
553,O=C(O)CCOCc1ccccc1
554,O=C(O)CCCCOC1CCCCO1
555,O=C(O)CCCOC1CCCCO1
556,O=C(O)/C(Cl)=C(\Cl)C(Cl)=C(Cl)Cl
557,O=C(O)c1cccc(Cl)n1
558,O=C(O)c1cc(Br)c(C(=O)O)cc1Br
559,O=C(O)C1CCOCC1
560,O=C(O)c1csc(Br)n1
561,O=C(O)c1ccnc(Br)c1
562,O=C(O)c1cc(Cl)ccn1
563,O=C(O)C12C3C4C1C1C2C3C41C(=O)O
564,O=Cc1ccccc1C=CC(=O)O
565,O=C(O)c1cc(Br)ccn1
566,O=C(O)CS(=O)(=O)c1ccc(Cl)cc1
567,O=C(O)CS(=O)(=O)c1ccccc1
568,O=C(O)C(Cl)c1ccccc1
569,O=C(O)c1cc(Br)c(Br)s1
570,O=C(O)COc1cccc(Br)c1
571,O=C(O)C(I)(I)I
572,O=C(O)c1cnc(S)[nH]1
573,N#CCSCC(=O)O
574,O=C(O)CSc1cccs1
